id,grade,subject,q,a,w1,w2,w3
6001,6,english,"다음 빈칸에 알맞은 말은? ""What ____ you do yesterday?""",did,do,will,are
6002,6,english,"다음 우리말을 영어로 바르게 옮긴 것은? ""나는 공원에 갔어.""",I went to the park.,I go to the park.,I will go to the park.,I am going to the park.
6003,6,english,다음 대화의 빈칸에 알맞은 말은? A: How was your weekend? B: It ____ great.,was,is,are,were
6004,6,english,다음 중 과거형 동사가 *잘못* 짝지어진 것은?,go - goed,eat - ate,see - saw,play - played
6005,6,english,"다음 빈칸에 알맞은 말은? ""I ____ my grandmother last Sunday.""",visited,visit,visiting,will visit
6006,6,english,"다음 빈칸에 알맞은 말은? ""Where ____ the post office?""",is,are,do,does
6007,6,english,다음 대화의 응답으로 알맞은 것은? A: Where is the bank? B: ______,Go straight and turn left.,I am happy.,It is 5 o'clock.,I like apples.
6008,6,english,다음 단어의 뜻으로 알맞은 것은? [straight],곧장(똑바로),오른쪽으로,왼쪽으로,뒤로
6009,6,english,"다음 빈칸에 알맞은 말은? ""It's ____ the police station.""",next to,next,next in,next at
6010,6,english,길을 물어볼 때 쓰는 표현이 *아닌* 것은?,I like swimming.,Where is the museum?,How can I get there?,Is there a hospital near here?
6011,6,english,"다음 빈칸에 알맞은 말은? ""What do you want to ____?""",be,do,go,have
6012,6,english,"다음 우리말을 영어로 바르게 옮긴 것은? ""나는 과학자가 되고 싶어.""",I want to be a scientist.,I want to be a doctor.,I want to be a teacher.,I want to be a baker.
6013,6,english,다음 직업과 하는 일이 바르게 연결된 것은?,Baker - makes bread,Doctor - catches thieves,Artist - flies a plane,Pilot - draws pictures
6014,6,english,"다음 빈칸에 알맞은 말은? ""I like cooking. I want to be a ____.""",cook,vet,singer,police officer
6015,6,english,다음 중 직업을 나타내는 단어가 *아닌* 것은?,Future,Designer,Movie director,Programmer
6016,6,english,"다음 빈칸에 알맞은 말은? ""When is your ____?""",birthday,name,school,lunch
6017,6,english,다음 날짜를 영어로 바르게 읽은 것은? [5월 1일],May first,May one,May once,May firth
6018,6,english,다음 중 '3월'을 뜻하는 단어는?,March,May,April,June
6019,6,english,"다음 빈칸에 알맞은 말은? ""My birthday is ____ October 9th.""",on,in,at,of
6020,6,english,다음 중 서수(순서) 표현이 *틀린* 것은?,threeth,first,second,third
6021,6,english,"다음 빈칸에 알맞은 말은? ""The elephant is ____ than the dog.""",bigger,big,biggest,more big
6022,6,english,"다음 우리말을 영어로 바르게 옮긴 것은? ""민수는 지호보다 키가 더 커.""",Minsu is taller than Jiho.,Minsu is tall than Jiho.,Minsu is tallest than Jiho.,Minsu is more tall than Jiho.
6023,6,english,"다음 빈칸에 알맞은 말은? ""Who is ____, you or Tom?""",faster,fast,fastest,more fast
6024,6,english,다음 중 비교급 형태가 *잘못된* 것은?,good - gooder,heavy - heavier,big - bigger,strong - stronger
